run_id,policy,t_rel_s,n_c1_search,c1_search_viol_pct,c1_search_viol_pct_roll3,rate_kbit
B_ramp_site_s3,site_s3,280,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,281,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,282,136,100.0,100.0,1600
B_ramp_site_s3,site_s3,283,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,284,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,285,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,286,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,287,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,288,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,289,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,290,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,291,137,100.0,100.0,1600
B_ramp_site_s3,site_s3,292,132,100.0,100.0,1600
B_ramp_site_s3,site_s3,293,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,294,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,295,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,296,134,100.0,100.0,1600
B_ramp_site_s3,site_s3,297,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,298,133,100.0,100.0,1600
B_ramp_site_s3,site_s3,299,131,100.0,88.729,1600
B_ramp_site_s3,site_s3,300,139,66.1871,56.3833,1600
B_ramp_site_s3,site_s3,301,135,2.963,23.2988,1600
B_ramp_site_s3,site_s3,302,134,0.7463,1.2364,1600
B_ramp_site_s3,site_s3,303,131,0.0,0.2488,1600
B_ramp_site_s3,site_s3,304,134,0.0,0.0,1600
B_ramp_site_s3,site_s3,305,134,0.0,0.0,1600
B_ramp_site_s3,site_s3,306,134,0.0,0.0,1600
B_ramp_site_s3,site_s3,307,133,0.0,0.0,1600
B_ramp_site_s3,site_s3,308,132,0.0,0.0,1600
B_ramp_site_s3,site_s3,309,135,0.0,0.0,1600
B_ramp_site_s3,site_s3,310,133,0.0,0.2506,1600
B_ramp_site_s3,site_s3,311,133,0.7519,0.2506,1600
B_ramp_site_s3,site_s3,312,133,0.0,0.2506,1600
B_ramp_site_s3,site_s3,313,133,0.0,0.0,1600
B_ramp_site_s3,site_s3,314,134,0.0,0.0,1600
B_ramp_site_s3,site_s3,315,134,0.0,0.0,1600
B_ramp_site_s3,site_s3,316,132,0.0,0.0,1600
B_ramp_site_s3,site_s3,317,133,0.0,0.0,1600
B_ramp_site_s3,site_s3,318,134,0.0,0.0,1600
B_ramp_site_s3,site_s3,319,134,0.0,0.0,1600
B_ramp_site_s3,site_s3,320,133,0.0,0.0,1600
B_ramp_site_s3,site_s3,321,133,0.0,0.2506,1600
B_ramp_site_s3,site_s3,322,133,0.7519,0.2506,1600
B_ramp_site_s3,site_s3,323,134,0.0,0.2506,1600
B_ramp_site_s3,site_s3,324,134,0.0,0.0,1600
B_ramp_site_s3,site_s3,325,133,0.0,0.0,1600
B_ramp_site_s3,site_s3,326,132,0.0,0.0,1600
B_ramp_site_s3,site_s3,327,135,0.0,0.0,1600
B_ramp_site_s3,site_s3,328,133,0.0,0.0,1600
B_ramp_site_s3,site_s3,329,133,0.0,0.0,1600
B_ramp_site_s3,site_s3,330,132,0.0,0.0,1600
B_ramp_site_s3,site_s3,331,134,0.0,0.2488,1600
B_ramp_site_s3,site_s3,332,134,0.7463,0.7463,1600
B_ramp_site_s3,site_s3,333,134,1.4925,0.7463,1600
B_ramp_site_s3,site_s3,334,133,0.0,0.4975,1600
B_ramp_site_s3,site_s3,335,132,0.0,0.0,1600
B_ramp_site_s3,site_s3,336,135,0.0,0.0,1600
B_ramp_site_s3,site_s3,337,133,0.0,0.0,1600
B_ramp_site_s3,site_s3,338,134,0.0,0.0,1600
B_ramp_site_s3,site_s3,339,131,0.0,0.0,1600
B_ramp_site_s3,site_s3,340,134,0.0,0.0,1600
B_ramp_site_s3,site_s3,341,134,0.0,0.0,1600
B_ramp_site_s3,site_s3,342,134,0.0,0.0,1600
B_ramp_site_s3,site_s3,343,133,0.0,0.0,1600
B_ramp_site_s3,site_s3,344,132,0.0,0.0,1600
B_ramp_site_s3,site_s3,345,134,0.0,0.0,1600
