ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant
1785901049.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901049.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901049.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901050.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901050.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901050.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901050.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901050.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901050.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901051.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901051.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901051.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901051.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901051.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901051.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901052.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901052.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901052.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901052.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901052.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901052.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901053.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901053.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901053.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901053.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901053.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901053.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901054.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901054.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901054.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901054.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901054.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901054.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901055.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901055.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901055.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901055.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901055.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901055.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901056.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901056.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901056.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901056.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901056.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901056.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901057.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901057.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901057.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901057.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901057.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901057.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901058.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901058.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901058.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901058.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901058.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901058.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901059.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901059.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901059.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901059.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901059.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901059.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901060.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901060.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
