ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes,feasible_set,subset_cluster,feasible_set_const,feasible_set_bytesonly,feasible_set_fconly
1786308371.032,c1,reserve,,0.0,26.34,-32.65,3.65,S3,1,0.77,0,36.0,obs,598,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,-32.65,3.65,S3,7.313,0,S3,site_s3,S3,S3,S3
1786308371.032,c1,search,,0.0,31.1,-104.21,10.98,S3,1,0.52,0,4474.0,obs,893,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,-104.21,10.98,S3,7.313,0,S3,site_s3,S3,S3,S3
1786308371.032,c1,recommend,,0.0,26.76,-21.8,4.0,S3,1,0.51,0,200.0,obs,1184,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,-21.8,4.0,S3,7.313,0,S3,site_s3,S3,S3,S3
1786308371.032,c2,reserve,,0.0,26.34,-32.65,3.65,S3,1,0.49,0,36.0,obs,598,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,-32.65,3.65,S3,7.313,0,S3,site_s3,S3,S3,S3
1786308371.032,c2,search,,0.0,31.1,-104.21,10.98,S3,1,0.48,0,4474.0,obs,893,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,-104.21,10.98,S3,7.313,0,S3,site_s3,S3,S3,S3
1786308371.032,c2,recommend,,0.0,26.76,-21.8,4.0,S3,1,0.47,0,200.0,obs,1184,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,-21.8,4.0,S3,7.313,0,S3,site_s3,S3,S3,S3
1786308372.036,c1,reserve,,0.0,26.34,13.67,-10.14,S2,1,0.77,0,36.0,obs,588,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,-10.14,S2,10.0,0,S2,site_s2,S3,S3,S2
1786308372.036,c1,search,,0.0,31.1,20.71,-18.78,S2,1,0.52,0,4474.0,obs,886,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,-18.78,S2,10.0,0,S2,site_s2,S3,S3,S2
1786308372.036,c1,recommend,,0.0,26.76,14.03,-3.8,S2,1,0.5,0,200.0,obs,1183,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,-3.8,S2,10.0,0,S2,site_s2,S3,S3,S2
1786308372.036,c2,reserve,,0.0,26.34,13.67,-10.14,S2,1,0.5,0,36.0,obs,588,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,-10.14,S2,10.0,0,S2,site_s2,S3,S3,S2
1786308372.036,c2,search,,0.0,31.1,20.71,-18.78,S2,1,0.49,0,4474.0,obs,886,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,-18.78,S2,10.0,0,S2,site_s2,S3,S3,S2
1786308372.036,c2,recommend,,0.0,26.76,14.03,-3.8,S2,1,0.5,0,200.0,obs,1183,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,-3.8,S2,10.0,0,S2,site_s2,S3,S3,S2
