policy,t_rel_s,class,n,S1_pct,S2_pct,S3_pct
SORTS,164,reserve,98,0.0,54.08,45.92
SORTS,164,search,153,49.67,29.41,20.92
SORTS,165,recommend,198,0.0,59.6,40.4
SORTS,165,reserve,104,0.0,59.62,40.38
SORTS,165,search,148,50.0,27.03,22.97
SORTS,166,recommend,202,0.0,56.93,43.07
SORTS,166,reserve,96,0.0,52.08,47.92
SORTS,166,search,151,50.33,31.13,18.54
SORTS,167,recommend,197,0.0,61.93,38.07
SORTS,167,reserve,102,0.0,52.94,47.06
SORTS,167,search,151,49.67,23.84,26.49
SORTS,168,recommend,205,0.0,60.0,40.0
SORTS,168,reserve,98,0.0,53.06,46.94
SORTS,168,search,149,50.34,28.19,21.48
SORTS,169,recommend,196,0.0,56.63,43.37
SORTS,169,reserve,101,0.0,64.36,35.64
SORTS,169,search,151,49.67,27.81,22.52
SORTS,170,recommend,202,0.0,55.45,44.55
SORTS,170,reserve,101,0.0,60.4,39.6
SORTS,170,search,148,50.0,28.38,21.62
SORTS,171,recommend,200,0.0,60.0,40.0
SORTS,171,reserve,98,0.0,53.06,46.94
SORTS,171,search,152,50.0,28.29,21.71
SORTS,172,recommend,198,0.0,57.58,42.42
SORTS,172,reserve,103,0.0,55.34,44.66
SORTS,172,search,148,50.0,32.43,17.57
SORTS,173,recommend,203,0.0,61.08,38.92
SORTS,173,reserve,96,0.0,51.04,48.96
SORTS,173,search,152,50.0,26.32,23.68
SORTS,174,recommend,196,0.0,55.1,44.9
SORTS,174,reserve,103,0.0,57.28,42.72
SORTS,174,search,150,50.0,30.0,20.0
SORTS,175,recommend,204,0.0,57.84,42.16
SORTS,175,reserve,97,0.0,52.58,47.42
SORTS,175,search,150,50.0,32.0,18.0
SORTS,176,recommend,198,0.0,57.58,42.42
SORTS,176,reserve,103,0.0,60.19,39.81
SORTS,176,search,149,50.34,28.19,21.48
SORTS,177,recommend,202,0.0,58.42,41.58
SORTS,177,reserve,98,0.0,55.1,44.9
SORTS,177,search,149,49.66,29.53,20.81
SORTS,178,recommend,198,0.0,57.07,42.93
SORTS,178,reserve,101,0.0,57.43,42.57
SORTS,178,search,151,50.33,28.48,21.19
SORTS,179,recommend,202,0.0,53.47,46.53
SORTS,179,reserve,100,0.0,59.0,41.0
SORTS,179,search,149,49.66,30.2,20.13
SORTS,180,recommend,198,0.0,57.07,42.93
SORTS,180,reserve,99,0.0,57.58,42.42
SORTS,180,search,151,59.6,31.79,8.61
SORTS,181,recommend,200,0.0,59.0,41.0
SORTS,181,reserve,104,0.0,53.85,46.15
SORTS,181,search,148,64.19,35.81,0.0
SORTS,182,recommend,201,0.0,60.2,39.8
SORTS,182,reserve,96,0.0,47.92,52.08
SORTS,182,search,151,63.58,36.42,0.0
SORTS,183,recommend,198,0.0,55.56,44.44
SORTS,183,reserve,102,0.0,58.82,41.18
SORTS,183,search,150,62.67,37.33,0.0
SORTS,184,recommend,204,0.0,59.31,40.69
SORTS,184,reserve,97,0.0,55.67,44.33
SORTS,184,search,150,65.33,34.67,0.0
SORTS,185,recommend,197,0.0,53.3,46.7
SORTS,185,reserve,103,0.0,63.11,36.89
SORTS,185,search,151,62.25,37.75,0.0
SORTS,186,recommend,202,0.0,55.45,44.55
SORTS,186,reserve,100,0.0,55.0,45.0
SORTS,186,search,148,66.22,33.78,0.0
SORTS,187,recommend,199,0.0,59.3,40.7
SORTS,187,reserve,98,0.0,50.0,50.0
SORTS,187,search,151,60.93,39.07,0.0
SORTS,188,recommend,199,0.0,58.29,41.71
SORTS,188,reserve,104,0.0,50.96,49.04
SORTS,188,search,148,60.81,39.19,0.0
SORTS,189,recommend,202,0.0,59.41,40.59
